HARDSTONE SEAL WITH INTERESTING IMPRESSION,18.44,0,None,None,1484949888000,United Kingdom,Antiquities
TWO ANCIENT EGYPTIAN GLASS AND STONE BEADS 1600 BC,12.30,0,None,None,1484949888000,United Kingdom,Antiquities
NICE POST MEDIEVAL 18TH - 19TH CENTURY LEAD SIGN, BRITISH FOUND.,14.76,0,None,None,1484949888000,United Kingdom,Antiquities
AUTÉNTICO METEORITO FERRICO SIKHOTE ALIN.  4,7 g. RUSIA.  NSK08,10.60,5,None,None,1484950157000,Ukraine,Antiquities
Saljuk Turkish or Middleeastern large silver bracelet 12th century,2,250.00,0,None,None,1484950346000,Spain,Antiquities
EXCEPTIONAL !!! 4 ANCIENT MEDIEVAL MEDALS,26.21,0,None,None,1484950346000,Spain,Antiquities
EXCEPTIONAL !!! MILITARY CROSSBOW FIBULA, 75 mm, 43.99 g,56.98,0,None,None,1484950346000,Spain,Antiquities
FOSILES " FANTASTICO DIENTE DE MEGALODON MAKO DE GEORGIA(USA)  -  6A15 ",3.18,5,None,None,1484950428000,Cyprus,Antiquities
CHOICE ROMAN PERIOD BRONZE RING with THE ROMAN EAGLE IMAGE ON THE TOP+++,39.99,0,None,None,1484950444000,Norway,Antiquities
J. MCDERMAID ROCKFORD ILL NAME BADGE FROM BUTTER CHURN ILLINOIS,19.99,0,None,None,1484950462000,United States,Antiquities
MINERALES " EXTRAORDINARIO<wbr/>S CRISTALES DE QUARZO NEGRO DE ARKANSAS  -  5B15 ",26.53,9,None,None,1484950686000,Cyprus,Antiquities
FOSILES HELECHOS " FANTASTICO HELECHO PECOPTERIS DE LA MAGDALENA(LEON<wbr/>) - 1A16 ",26.53,3,None,None,1484951025000,Cyprus,Antiquities
